Name,ID,Deck 1,Deck 2,Deck 3
TO Kishiyo,852533553,https://shadowverse-portal.com/deckbuilder/create/2?hash=1.2.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6i3H2.6i3H2.6i3H2.gHUPA.gHUPA.gHUPA.6eMSy.6eMSy.6eMSy.6lyIY.6lyIY.6lyIY.6i89Y.6i89Y.6i89Y.6WiTQ.6WiTQ.6WiTQ.6iAby.6iAby.6iAby.6hNKY.6hNKY.6hNKY.6hPmo.6hPmo.6hPmo.6WkAy.6WkAy.6WkAy.6eMSo.6eMSo.6eMSo.6eMT6&lang=en,https://shadowverse-portal.com/deckbuilder/create/7?hash=1.7.6nnUY.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.60COa.60COa.60COa.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6k4gS.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6YeFI.6YeFI.6gGXS.6gGXS.6gGXS.6hNKY.6hNKY&lang=en,https://shadowverse-portal.com/deckbuilder/create/6?hash=1.6.6YBRY.6YBRY.6YBRY.6YAyI.6YAyI.6jdNI.6jdNI.6jfpi.6jfpi.6jfpi.6nRWI.6nRWI.6nRWI.6nTyi.6nTyi.6nTyi.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.5_pFg.5_pFg.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY&lang=en
OSaV,220538641,https://shadowverse-portal.com/deck/3.5.6XoXy.6XoXy.6XtQI.6XtQI.6jCWY.6jCWY.6jEyo.6jEyo.6jEyo.gEn3Q.gEn3Q.gEn3Q.6XoXo.6XoXo.6XoXo.6n5Y2.6n5Y2.6bcgo.6bcgo.6bcgo.6jCWs.6jCWs.6jCWs.6bhZI.6jJrI.6jJrI.6jEyy.6jEyy.6jEyy.6jJrS.6jJrS.6jJrS.6jJrc.6jJrc.6jJrc.6hNKY.6hNKY.6hNKY.6ZnUy.6ZnUy?lang=en,https://shadowverse-portal.com/deckbuilder/create/6?hash=3.6.6jdNI.6jdNI.6jdNI.6jfpi.6jfpi.6jfpi.6nRWI.6nRWI.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY.6jfpY&lang=en,https://shadowverse-portal.com/deckbuilder/create/7?hash=3.7.6nnUY.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6j_ny.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6cSOS.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6YeFI.6gGXS.6gGXS.6hNKY.6hNKY.6hNKY&lang=en
Hishiro/REV,805282163,https://shadowverse-portal.com/deck/3.6.6jdNI.6jdNI.6jdNI.6jfpi.6jfpi.6jfpi.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.5_pzw.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6c1Xs.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/3.7.6nnUY.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6j_ny.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.60COa.60COa.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6YeFI.6gGXS.6gGXS.6gGXS.6lDvo?lang=en,https://shadowverse-portal.com/deck/3.3.5-gkQ.5-gkQ.5-gkQ.5-gka.5-gka.5-gka.gE0EQ.gE0EQ.gE0EQ.gHqNa.6mIGo.6mIGo.6mIGo.6X6bc.6X6bc.6X6bc.6iZ0S.6iZ0S.6iZ0S.6awkc.6awkc.6awkc.gHqNQ.gHqNQ.gHqNQ.6hNKY.6hNKY.6hNKY.6mFqi.6mFqi.6mFqi.5-glM.5-glM.5-glM.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en
Sharuru,435202748,https://shadowverse-portal.com/deck/3.6.6YBRY.6YBRY.6YBRY.6jfpi.6jfpi.6jfpi.6nP4M.6nP4M.6nP4M.6nRWI.6nRWI.6nRWI.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.5_pFg.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/3.8.6clwI.6clwI.6clwI.6gYLw.6gYLw.6gYLw.6clwS.6clwS.6clwS.6ga3I.6ga3I.6oCLI.6oCLI.6oCLI.6ckCw.6ckCw.6ckCw.6gcVs.6gcVs.6gcVs.6kQei.6kQei.6kQei.6oAdw.6oAdw.6oAdw.6coMY.6cqoo.6cqoo.6cqoo.60dFA.6cp5Q.6cp5Q.6cp5Q.6dZwQ.6oHDy.6oHDy.6oHDy.6hKuI.6Z0fo?lang=en,https://shadowverse-portal.com/deck/3.3.5-gkQ.5-gkQ.5-gkQ.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6iU7y.6iU7y.6iU7y.6mFqY.6mFqY.6mFqY.6iWa2.6iWa2.6iWa2.6iZ0S.6iZ0S.6iZ0S.6mIGy.6mIGy.6mIGy.6ZnUy.6hNKY.6hNKY.6hNKY.6hPmo.6hPmo.6hPmo.6mFqi.6mFqi.6mFqi.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en
TO | CleaR,174769067,https://shadowverse-portal.com/deck/3.3.5-gkQ.5-gkQ.5-gkQ.6hISM.6hISM.6hISM.6l6b2.6l6b2.6iU7y.6iU7y.6iU7y.6mFqY.6mFqY.6iWa2.6iWa2.6iWa2.6lCCQ.6iRhi.6iZ0S.6iZ0S.6iZ0S.6mIGy.6mIGy.6mIGy.gHqNQ.gHqNQ.gHqNQ.6ZnUy.6hNKY.6hNKY.6hPmo.6hPmo.6mFqi.6mFqi.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en,https://shadowverse-portal.com/deck/3.6.6YBRY.6YBRY.6YBRY.6jdNI.6jdNI.6jdNI.6jfpi.6jfpi.6jfpi.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.5_pFg.5_pFg.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6c3zy.6c3zy.6c3zy.6fmoM.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/3.7.6nnUY.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6l6b2.6j_ny.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6lCCQ.6lCCQ.6k4gS.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6YeFI.6gGXS.6gGXS.6gGXS.6hNKY.6hNKY?lang=en
ShadowShadet,568213857,https://shadowverse-portal.com/deck/1.6.6YBRY.6YBRY.6jfpi.6jfpi.6jfpi.6nP4M.6nP4M.6nP4M.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.5_pzw.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/1.7.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6j_ny.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6lCCQ.6lCCQ.6cSOS.6cSOS.6k4gS.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6gGXS.6gGXS.6gGXS?lang=en,https://shadowverse-portal.com/deck/1.3.5-gkQ.5-gkQ.5-gkQ.6iZ0c.6iZ0c.6iZ0c.5-gka.5-gka.5-gka.5-gkk.5-gkk.5-gkk.gHqNa.gHqNa.6eiR2.6eiR2.6eiR2.6iUNQ.6iUNQ.6lCCQ.6iZ0S.6iZ0S.6iZ0S.6W__a.6W__a.6W__a.6asag.6asag.6asag.6awkS.6ej9w.5-glM.5-glM.5-glM.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en
MS Eladrin,549561890,https://shadowverse-portal.com/deck/1.6.6YBRY.6YBRY.6jfpi.6jfpi.6jfpi.6nP4M.6nP4M.6nP4M.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.5_pzw.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/1.7.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6j_ny.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6lCCQ.6lCCQ.6cSOS.6cSOS.6k4gS.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6gGXS.6gGXS.6gGXS?lang=en,https://shadowverse-portal.com/deck/1.3.5-gkQ.5-gkQ.5-gkQ.6iZ0c.6iZ0c.6iZ0c.5-gka.5-gka.5-gka.5-gkk.5-gkk.5-gkk.gHqNa.gHqNa.6eiR2.6eiR2.6eiR2.6iUNQ.6iUNQ.6lCCQ.6iZ0S.6iZ0S.6iZ0S.6W__a.6W__a.6W__a.6asag.6asag.6asag.6awkS.6ej9w.5-glM.5-glM.5-glM.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en
Mensou/REV,678569958,https://shadowverse-portal.com/deck/1.6.6jdNI.6jdNI.6jdNI.6jfpi.6jfpi.6jfpi.6nRWI.6nRWI.6nTyi.6nTyi.6nTyi.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6c1Xs.6c1Xs.6c1Xs.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/3.3.5-gkQ.5-gkQ.5-gkQ.5-gka.5-gka.5-gka.5-gku.5-gku.6mLRw.gE0EQ.gE0EQ.gE0EQ.6ZjLA.6ZjLA.6X6bc.6X6bc.6iZ0S.6iZ0S.6iZ0S.6awkc.6awkc.6awkc.gHqNQ.gHqNQ.gHqNQ.6hNKY.6hNKY.6hNKY.6mFqi.6mFqi.6mFqi.5-glM.5-glM.5-glM.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en,https://shadowverse-portal.com/deck/3.7.6nnUY.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.60COa.60COa.60COa.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6k4gS.6k4gS.6k4gS.6nsN2.6nsN2.6nsN2.6YeFI.6YeFI.6YeFI.6gGXS.6gGXS.6gGXS.6hNKY.6hNKY?lang=en
Dis.Sana,332962590,https://shadowverse-portal.com/deck/1.3.5-gkQ.5-gkQ.5-gkQ.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6iU7y.6iU7y.6iU7y.6mFqY.6mFqY.6mFqY.5-gka.5-gka.6iWa2.6iWa2.6iWa2.6iZ0S.6iZ0S.6iZ0S.6mIGy.6mIGy.6mIGy.6ej9w.6ej9w.6hNKY.6hNKY.6hNKY.6hPmo.6hPmo.6hPmo.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en#_=_,https://shadowverse-portal.com/deck/1.7.6nnUY.6nnUY.6nnUY.6nssI.6nssI.6nssI.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6cNVo.6cNVo.6cNVo.6gBey.6gBey.6j_ny.6j_ny.6j_ny.6npwo.6npwo.6npwo.6nupS.6nupS.6nupS.60COa.60COa.6jzLY.6jzLY.6jzLY.6k4gI.6k4gI.6k4gI.6nsN2.6nsN2.6nsN2.6YeFI.6YeFI.6YeFI?lang=en,https://shadowverse-portal.com/deck/1.6.6YBRY.6YBRY.6YBRY.6Y8W2.6Y8W2.6Y8W2.6frgY.6frgY.6frgY.6jfpi.6jfpi.6jfpi.6nP4M.6nP4M.5_p-4.5_p-4.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY.6jfpY?lang=en
Fingaaa,516822662,https://shadowverse-portal.com/deck/3.6.6YBRY.6YBRY.6jfpi.6jfpi.6jfpi.6nRWI.6nRWI.6nRWI.6nTyi.6nTyi.6nTyi.5_p-4.5_p-4.5_p-4.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY.6jfpY?lang=en,https://shadowverse-portal.com/deck/3.2.6lwbA.6lwbA.6lwbA.5-Hbq.5-Hbq.5-Hbq.6eK0Y.6eK0Y.6eK0Y.5zW_g.5zW_g.5zW_g.6aRjw.6aRjw.6aRjw.6i6SA.6i6SA.6i6SA.6Wcs2.6Wcs2.6ltQM.6ltQM.6ltQM.5-IK4.5-IK4.5-IK4.6lu8w.6lu8w.6lu8w.6WiTQ.6WiTQ.6i3_w.6i3_w.6i3_w.6ZjLA.6ZjLA.6ZjLA.6ZgA2.6ZgA2.6ZgA2?lang=en,https://shadowverse-portal.com/deck/3.3.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6iU7y.6iU7y.6iU7y.6mFqY.6mFqY.6mFqY.6iWa2.6iWa2.6iWa2.6iUNQ.6iUNQ.6iUNQ.6iRhi.6iRhi.6iRhi.6iZ0S.6iZ0S.6iZ0S.6mIGy.6mIGy.6mIGy.6hNKY.6hNKY.6hNKY.6hPmo.6hPmo.6hPmo.6dbdo.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en
PG | Zerofyne,265562109,https://shadowverse-portal.com/deck/3.8.6clwI.6clwI.6gYLw.6gYLw.6gYLw.6clwS.6clwS.6clwS.6ga3I.6ga3I.6oCLI.6oCLI.6oCLI.6ckCw.6ckCw.6ckCw.6gcVs.6gcVs.6gcVs.6kQei.6kQei.6kQei.6oAdw.6oAdw.6oAdw.6coMY.6cqoo.6cqoo.6cqoo.6cp5Q.6cp5Q.6cp5Q.6dZwQ.6oHDy.6oHDy.6oHDy.6hKuI.6hNKY.6hNKY.6hNKY,https://shadowverse-portal.com/deck/3.3.g2ZpQ.g2ZpQ.g2ZpQ.6hISM.6hISM.6hISM.6l6b2.6l6b2.6l6b2.6iU7y.6iU7y.6iU7y.6mFqY.6mFqY.6mFqY.6iWa2.6iWa2.6iWa2.6iZ0S.6iZ0S.6iZ0S.6mIGy.6mIGy.6mIGy.6W__a.6W__a.6W__a.6hNKY.6hNKY.6hNKY.6hPmo.6hPmo.6hPmo.6mFqi.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC,https://shadowverse-portal.com/deck/3.6.6YBRY.6YBRY.6jdNI.6jfpi.6jfpi.6jfpi.6nRWI.6nRWI.6nRWI.6nTyi.6nTyi.6nTyi.5_pzw.5_pzw.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY
Reioli,159014256,https://shadowverse-portal.com/deck/1.2.5-Hb2.5-Hb2.5-Hb2.6WfIS.6aVtY.6aVtY.6aVtY.6lz1Q.6lz1Q.6lz1Q.6aQ_M.6aQ_M.6aQ_M.6ltQC.6lvsS.6lvsS.6lvsS.6aRjw.6i6SA.6i6SA.6aYJo.6aYJo.6eMSy.6eMSy.6eMSy.6iAbo.6iAbo.6iAbo.6aVti.6aVti.6aVti.6l-ky.6l-ky.6l-ky.6l-ko.6l-ko.6l-ko.6WkAy.6WkAy.6WkAy?lang=en,https://shadowverse-portal.com/deck/1.5.6XtQc.6XtQc.6XtQc.6XmqQ.6XmqQ.6XmqQ.6VwvY.6VwvY.6XoXy.6XoXy.6XoXy.6XtQI.6XtQI.6XtQI.6fONY.6fONY.6jCWY.6jCWY.6jEyo.6jEyo.6jEyo.6fP6Q.6fP6Q.6fP6Q.6XoXo.6XoXo.6XoXo.6n5Y2.6n5Y2.6n5Y2.6jCWs.6jCWs.6jCWs.6n7-S.6bhZI.6bhZI.6bhZI.6ZnUy.6ZnUy.6ZnUy?lang=en,https://shadowverse-portal.com/deck/1.3.5-gkQ.5-gkQ.5-gkQ.6hISM.6hISM.6hISM.5-gka.5-gka.5-gka.5-gku.5-gku.6eeHQ.6eeHQ.6eeHQ.6X6bc.6X6bc.6iZ0S.6iZ0S.6iZ0S.6awkc.6awkc.6awkc.6W__a.6W__a.6W__a.6hNKY.6hNKY.6hNKY.6mFqi.6mFqi.6mFqi.5-glM.5-glM.5-glM.6edYi.6edYi.6edYi.6iWaC.6iWaC.6iWaC?lang=en
DerXello,659459322,https://shadowverse-portal.com/deck/3.8.6clwI.6gYLw.6gYLw.6gYLw.6clwS.6clwS.6clwS.6ga3I.6ga3I.6ga3I.6oCLI.6oCLI.6oCLI.6ckCw.6ckCw.6ckCw.6gcVs.6gcVs.6gcVs.6kQei.6kQei.6kQei.6oAdw.6oAdw.6oAdw.6coMY.6cqoo.6cqoo.6cqoo.60dFA.6cp5Q.6cp5Q.6cp5Q.6dZwQ.6oHDy.6oHDy.6oHDy.6hNKY.6hNKY.6hNKY?lang=en,https://shadowverse-portal.com/deck/3.3.5-gkQ.5-gkQ.5-gkQ.g97kQ.6iZ0c.6iZ0c.6iZ0c.5-gka.5-gka.5-gka.5-gku.5-gku.5-gku.6mLRw.6eiR2.6eiR2.6eiR2.6iUNQ.6iUNQ.6iUNQ.6lCCQ.6X49C.6iZ0S.6iZ0S.6iZ0S.gHqNQ.gHqNQ.gHqNQ.6hNKY.6hNKY.6hNKY.6mFqi.6mFqi.5-glM.5-glM.5-glM.6dbdo.6dbdo.6dbdo.6mN9I?lang=en,https://shadowverse-portal.com/deck/3.6.6YBRY.6hISC.6hISC.6hISC.6Y8W2.6Y8W2.6jdNI.6jdNI.6jdNI.6jfpi.6jfpi.6jfpi.6nPow.6nPow.6nPow.6nWOy.6nWOy.6nWOy.6jgYQ.6jgYQ.6jgYQ.5_pFg.6fu76.6fu76.6fu76.6nTyY.6nTyY.6nTyY.6jiFo.6jiFo.6jiFo.6c3zy.6c3zy.6c3zy.6nWOo.6nWOo.6nWOo.6jfpY.6jfpY.6jfpY?lang=en
